<<<<<<< HEAD
Provincias;Grupo quinquenal de edad;Nacionalidad;Sexo;Periodo;Total
02 Albacete;De 80 a 84 años;Española;Hombres;1 de julio de 2022;4.682,644860
02 Albacete;De 80 a 84 años;Española;Hombres;1 de enero de 2022;4.759,484562
02 Albacete;De 80 a 84 años;Española;Hombres;1 de julio de 2019;5.019,366524
02 Albacete;De 80 a 84 años;Española;Hombres;1 de enero de 2019;5.248,320903
02 Albacete;De 80 a 84 años;Española;Mujeres;1 de julio de 2022;6.377,835019
02 Albacete;De 80 a 84 años;Española;Mujeres;1 de enero de 2022;6.434,600600
02 Albacete;De 80 a 84 años;Española;Mujeres;1 de julio de 2019;6.789,411329
02 Albacete;De 80 a 84 años;Española;Mujeres;1 de enero de 2019;7.077,717767
02 Albacete;De 85 a 89 años;Española;Hombres;1 de julio de 2022;3.423,090418
02 Albacete;De 85 a 89 años;Española;Hombres;1 de enero de 2022;3.449,513763
02 Albacete;De 85 a 89 años;Española;Hombres;1 de julio de 2019;3.543,027222
02 Albacete;De 85 a 89 años;Española;Hombres;1 de enero de 2019;3.578,758414
02 Albacete;De 85 a 89 años;Española;Mujeres;1 de julio de 2022;5.232,591576
02 Albacete;De 85 a 89 años;Española;Mujeres;1 de enero de 2022;5.298,309427
02 Albacete;De 85 a 89 años;Española;Mujeres;1 de julio de 2019;5.466,615155
02 Albacete;De 85 a 89 años;Española;Mujeres;1 de enero de 2019;5.521,594997
02 Albacete;90 y más años;Española;Hombres;1 de julio de 2022;1.839,947850
02 Albacete;90 y más años;Española;Hombres;1 de enero de 2022;1.803,815440
02 Albacete;90 y más años;Española;Hombres;1 de julio de 2019;1.685,140053
02 Albacete;90 y más años;Española;Hombres;1 de enero de 2019;1.625,122653
02 Albacete;90 y más años;Española;Mujeres;1 de julio de 2022;3.384,424529
02 Albacete;90 y más años;Española;Mujeres;1 de enero de 2022;3.349,093425
02 Albacete;90 y más años;Española;Mujeres;1 de julio de 2019;3.113,078370
02 Albacete;90 y más años;Española;Mujeres;1 de enero de 2019;3.036,444608
03 Alicante/Alacant;De 0 a 4 años;Española;Hombres;1 de julio de 2022;29.507,500000
03 Alicante/Alacant;De 0 a 4 años;Española;Hombres;1 de enero de 2022;30.292,000000
03 Alicante/Alacant;De 0 a 4 años;Española;Hombres;1 de julio de 2019;33.026,054718
03 Alicante/Alacant;De 0 a 4 años;Española;Hombres;1 de enero de 2019;33.658,420619
03 Alicante/Alacant;De 0 a 4 años;Española;Mujeres;1 de julio de 2022;27.578,500000
03 Alicante/Alacant;De 0 a 4 años;Española;Mujeres;1 de enero de 2022;28.246,000000
03 Alicante/Alacant;De 0 a 4 años;Española;Mujeres;1 de julio de 2019;30.820,116692
03 Alicante/Alacant;De 0 a 4 años;Española;Mujeres;1 de enero de 2019;31.498,807153
03 Alicante/Alacant;De 5 a 9 años;Española;Hombres;1 de julio de 2022;37.115,483987
03 Alicante/Alacant;De 5 a 9 años;Española;Hombres;1 de enero de 2022;37.219,588516
03 Alicante/Alacant;De 5 a 9 años;Española;Hombres;1 de julio de 2019;38.823,198096
03 Alicante/Alacant;De 5 a 9 años;Española;Hombres;1 de enero de 2019;39.309,430183
03 Alicante/Alacant;De 5 a 9 años;Española;Mujeres;1 de julio de 2022;34.675,093783
03 Alicante/Alacant;De 5 a 9 años;Española;Mujeres;1 de enero de 2022;34.887,343569
03 Alicante/Alacant;De 5 a 9 años;Española;Mujeres;1 de julio de 2019;36.326,282726
03 Alicante/Alacant;De 5 a 9 años;Española;Mujeres;1 de enero de 2019;36.709,833712
03 Alicante/Alacant;De 10 a 14 años;Española;Hombres;1 de julio de 2022;42.649,508942
03 Alicante/Alacant;De 10 a 14 años;Española;Hombres;1 de enero de 2022;43.154,716565
03 Alicante/Alacant;De 10 a 14 años;Española;Hombres;1 de julio de 2019;43.978,442840
03 Alicante/Alacant;De 10 a 14 años;Española;Hombres;1 de enero de 2019;44.119,898788
03 Alicante/Alacant;De 10 a 14 años;Española;Mujeres;1 de julio de 2022;39.984,411035
03 Alicante/Alacant;De 10 a 14 años;Española;Mujeres;1 de enero de 2022;40.305,274597
03 Alicante/Alacant;De 10 a 14 años;Española;Mujeres;1 de julio de 2019;41.317,653357
03 Alicante/Alacant;De 10 a 14 años;Española;Mujeres;1 de enero de 2019;41.342,553396
03 Alicante/Alacant;De 15 a 19 años;Española;Hombres;1 de julio de 2022;43.607,416096
03 Alicante/Alacant;De 15 a 19 años;Española;Hombres;1 de enero de 2022;43.171,155136
03 Alicante/Alacant;De 15 a 19 años;Española;Hombres;1 de julio de 2019;41.508,607678
03 Alicante/Alacant;De 15 a 19 años;Española;Hombres;1 de enero de 2019;40.919,890534
03 Alicante/Alacant;De 15 a 19 años;Española;Mujeres;1 de julio de 2022;40.820,857499
03 Alicante/Alacant;De 15 a 19 años;Española;Mujeres;1 de enero de 2022;40.489,856677
03 Alicante/Alacant;De 15 a 19 años;Española;Mujeres;1 de julio de 2019;38.955,879230
03 Alicante/Alacant;De 15 a 19 años;Española;Mujeres;1 de enero de 2019;38.689,878447
03 Alicante/Alacant;De 20 a 24 años;Española;Hombres;1 de julio de 2022;40.249,458216
03 Alicante/Alacant;De 20 a 24 años;Española;Hombres;1 de enero de 2022;39.896,658383
03 Alicante/Alacant;De 20 a 24 años;Española;Hombres;1 de julio de 2019;37.913,910240
03 Alicante/Alacant;De 20 a 24 años;Española;Hombres;1 de enero de 2019;37.746,473666
03 Alicante/Alacant;De 20 a 24 años;Española;Mujeres;1 de julio de 2022;37.793,165400
03 Alicante/Alacant;De 20 a 24 años;Española;Mujeres;1 de enero de 2022;37.397,755734
03 Alicante/Alacant;De 20 a 24 años;Española;Mujeres;1 de julio de 2019;35.766,547507
03 Alicante/Alacant;De 20 a 24 años;Española;Mujeres;1 de enero de 2019;35.555,339489
03 Alicante/Alacant;De 25 a 29 años;Española;Hombres;1 de julio de 2022;37.573,307914
03 Alicante/Alacant;De 25 a 29 años;Española;Hombres;1 de enero de 2022;37.727,590162
03 Alicante/Alacant;De 25 a 29 años;Española;Hombres;1 de julio de 2019;39.199,576534
03 Alicante/Alacant;De 25 a 29 años;Española;Hombres;1 de enero de 2019;39.525,550402
03 Alicante/Alacant;De 25 a 29 años;Española;Mujeres;1 de julio de 2022;35.494,959242
03 Alicante/Alacant;De 25 a 29 años;Española;Mujeres;1 de enero de 2022;35.695,176478
03 Alicante/Alacant;De 25 a 29 años;Española;Mujeres;1 de julio de 2019;36.743,828305
03 Alicante/Alacant;De 25 a 29 años;Española;Mujeres;1 de enero de 2019;37.037,366450
03 Alicante/Alacant;De 30 a 34 años;Española;Hombres;1 de julio de 2022;40.707,895767
03 Alicante/Alacant;De 30 a 34 años;Española;Hombres;1 de enero de 2022;40.878,775636
03 Alicante/Alacant;De 30 a 34 años;Española;Hombres;1 de julio de 2019;42.475,805857
03 Alicante/Alacant;De 30 a 34 años;Española;Hombres;1 de enero de 2019;43.093,757159
03 Alicante/Alacant;De 30 a 34 años;Española;Mujeres;1 de julio de 2022;38.678,033835
03 Alicante/Alacant;De 30 a 34 años;Española;Mujeres;1 de enero de 2022;38.830,351190
03 Alicante/Alacant;De 30 a 34 años;Española;Mujeres;1 de julio de 2019;40.465,032208
03 Alicante/Alacant;De 30 a 34 años;Española;Mujeres;1 de enero de 2019;40.980,590101
03 Alicante/Alacant;De 35 a 39 años;Española;Hombres;1 de julio de 2022;46.017,258871
03 Alicante/Alacant;De 35 a 39 años;Española;Hombres;1 de enero de 2022;46.841,414536
03 Alicante/Alacant;De 35 a 39 años;Española;Hombres;1 de julio de 2019;52.078,181453
03 Alicante/Alacant;De 35 a 39 años;Española;Hombres;1 de enero de 2019;53.389,326666
03 Alicante/Alacant;De 35 a 39 años;Española;Mujeres;1 de julio de 2022;44.583,443560
03 Alicante/Alacant;De 35 a 39 años;Española;Mujeres;1 de enero de 2022;45.356,706094
03 Alicante/Alacant;De 35 a 39 años;Española;Mujeres;1 de julio de 2019;50.446,974216
03 Alicante/Alacant;De 35 a 39 años;Española;Mujeres;1 de enero de 2019;51.642,280756
03 Alicante/Alacant;De 40 a 44 años;Española;Hombres;1 de julio de 2022;58.915,129987
03 Alicante/Alacant;De 40 a 44 años;Española;Hombres;1 de enero de 2022;60.029,662969
03 Alicante/Alacant;De 40 a 44 años;Española;Hombres;1 de julio de 2019;63.552,847228
03 Alicante/Alacant;De 40 a 44 años;Española;Hombres;1 de enero de 2019;63.936,757898
03 Alicante/Alacant;De 40 a 44 años;Española;Mujeres;1 de julio de 2022;56.814,186342
03 Alicante/Alacant;De 40 a 44 años;Española;Mujeres;1 de enero de 2022;57.805,978756
03 Alicante/Alacant;De 40 a 44 años;Española;Mujeres;1 de julio de 2019;60.899,726831
03 Alicante/Alacant;De 40 a 44 años;Española;Mujeres;1 de enero de 2019;61.407,419620
03 Alicante/Alacant;De 45 a 49 años;Española;Hombres;1 de julio de 2022;64.544,459588
03 Alicante/Alacant;De 45 a 49 años;Española;Hombres;1 de enero de 2022;64.138,878858
03 Alicante/Alacant;De 45 a 49 años;Española;Hombres;1 de julio de 2019;62.140,190576
03 Alicante/Alacant;De 45 a 49 años;Española;Hombres;1 de enero de 2019;61.819,872168
03 Alicante/Alacant;De 45 a 49 años;Española;Mujeres;1 de julio de 2022;62.413,361391
03 Alicante/Alacant;De 45 a 49 años;Española;Mujeres;1 de enero de 2022;62.118,738349
03 Alicante/Alacant;De 45 a 49 años;Española;Mujeres;1 de julio de 2019;60.577,768831
03 Alicante/Alacant;De 45 a 49 años;Española;Mujeres;1 de enero de 2019;60.271,851890
03 Alicante/Alacant;De 50 a 54 años;Española;Hombres;1 de julio de 2022;60.857,118379
03 Alicante/Alacant;De 50 a 54 años;Española;Hombres;1 de enero de 2022;60.494,191471
03 Alicante/Alacant;De 50 a 54 años;Española;Hombres;1 de julio de 2019;59.015,903484
03 Alicante/Alacant;De 50 a 54 años;Española;Hombres;1 de enero de 2019;58.934,506311
03 Alicante/Alacant;De 50 a 54 años;Española;Mujeres;1 de julio de 2022;60.586,740533
03 Alicante/Alacant;De 50 a 54 años;Española;Mujeres;1 de enero de 2022;60.480,719917
03 Alicante/Alacant;De 50 a 54 años;Española;Mujeres;1 de julio de 2019;59.408,644557
03 Alicante/Alacant;De 50 a 54 años;Española;Mujeres;1 de enero de 2019;59.498,825464
03 Alicante/Alacant;De 55 a 59 años;Española;Hombres;1 de julio de 2022;57.278,895696
03 Alicante/Alacant;De 55 a 59 años;Española;Hombres;1 de enero de 2022;56.736,604129
03 Alicante/Alacant;De 55 a 59 años;Española;Hombres;1 de julio de 2019;53.810,139889
03 Alicante/Alacant;De 55 a 59 años;Española;Hombres;1 de enero de 2019;53.011,292097
03 Alicante/Alacant;De 55 a 59 años;Española;Mujeres;1 de julio de 2022;58.467,238060
03 Alicante/Alacant;De 55 a 59 años;Española;Mujeres;1 de enero de 2022;57.888,743100
03 Alicante/Alacant;De 55 a 59 años;Española;Mujeres;1 de julio de 2019;55.003,725902
03 Alicante/Alacant;De 55 a 59 años;Española;Mujeres;1 de enero de 2019;54.216,490948
03 Alicante/Alacant;De 60 a 64 años;Española;Hombres;1 de julio de 2022;50.334,102191
03 Alicante/Alacant;De 60 a 64 años;Española;Hombres;1 de enero de 2022;49.914,061931
03 Alicante/Alacant;De 60 a 64 años;Española;Hombres;1 de julio de 2019;45.524,042854
03 Alicante/Alacant;De 60 a 64 años;Española;Hombres;1 de enero de 2019;44.604,466280
03 Alicante/Alacant;De 60 a 64 años;Española;Mujeres;1 de julio de 2022;52.838,935791
03 Alicante/Alacant;De 60 a 64 años;Española;Mujeres;1 de enero de 2022;52.378,326678
03 Alicante/Alacant;De 60 a 64 años;Española;Mujeres;1 de julio de 2019;48.329,381043
03 Alicante/Alacant;De 60 a 64 años;Española;Mujeres;1 de enero de 2019;47.414,704635
03 Alicante/Alacant;De 65 a 69 años;Española;Hombres;1 de julio de 2022;40.521,046676
03 Alicante/Alacant;De 65 a 69 años;Española;Hombres;1 de enero de 2022;39.908,509157
03 Alicante/Alacant;De 65 a 69 años;Española;Hombres;1 de julio de 2019;37.759,316390
03 Alicante/Alacant;De 65 a 69 años;Española;Hombres;1 de enero de 2019;37.442,840453
03 Alicante/Alacant;De 65 a 69 años;Española;Mujeres;1 de julio de 2022;44.620,155507
03 Alicante/Alacant;De 65 a 69 años;Española;Mujeres;1 de enero de 2022;43.920,960838
03 Alicante/Alacant;De 65 a 69 años;Española;Mujeres;1 de julio de 2019;41.307,454014
03 Alicante/Alacant;De 65 a 69 años;Española;Mujeres;1 de enero de 2019;41.142,220543
03 Alicante/Alacant;De 70 a 74 años;Española;Hombres;1 de julio de 2022;34.121,318279
03 Alicante/Alacant;De 70 a 74 años;Española;Hombres;1 de enero de 2022;33.735,961617
03 Alicante/Alacant;De 70 a 74 años;Española;Hombres;1 de julio de 2019;33.006,365657
03 Alicante/Alacant;De 70 a 74 años;Española;Hombres;1 de enero de 2019;32.963,374042
03 Alicante/Alacant;De 70 a 74 años;Española;Mujeres;1 de julio de 2022;39.606,670103
03 Alicante/Alacant;De 70 a 74 años;Española;Mujeres;1 de enero de 2022;39.187,677093
03 Alicante/Alacant;De 70 a 74 años;Española;Mujeres;1 de julio de 2019;38.205,980394
03 Alicante/Alacant;De 70 a 74 años;Española;Mujeres;1 de enero de 2019;37.992,312787
03 Alicante/Alacant;De 75 a 79 años;Española;Hombres;1 de julio de 2022;26.893,242923
03 Alicante/Alacant;De 75 a 79 años;Española;Hombres;1 de enero de 2022;26.400,702888
03 Alicante/Alacant;De 75 a 79 años;Española;Hombres;1 de julio de 2019;24.682,247080
03 Alicante/Alacant;De 75 a 79 años;Española;Hombres;1 de enero de 2019;23.696,747864
03 Alicante/Alacant;De 75 a 79 años;Española;Mujeres;1 de julio de 2022;33.603,059232
03 Alicante/Alacant;De 75 a 79 años;Española;Mujeres;1 de enero de 2022;32.944,889042
03 Alicante/Alacant;De 75 a 79 años;Española;Mujeres;1 de julio de 2019;30.683,219123
03 Alicante/Alacant;De 75 a 79 años;Española;Mujeres;1 de enero de 2019;29.427,558350
03 Alicante/Alacant;De 80 a 84 años;Española;Hombres;1 de julio de 2022;17.541,132780
03 Alicante/Alacant;De 80 a 84 años;Española;Hombres;1 de enero de 2022;17.563,450684
03 Alicante/Alacant;De 80 a 84 años;Española;Hombres;1 de julio de 2019;17.219,264778
03 Alicante/Alacant;De 80 a 84 años;Española;Hombres;1 de enero de 2019;17.773,434573
03 Alicante/Alacant;De 80 a 84 años;Española;Mujeres;1 de julio de 2022;24.665,323790
03 Alicante/Alacant;De 80 a 84 años;Española;Mujeres;1 de enero de 2022;24.738,940692
03 Alicante/Alacant;De 80 a 84 años;Española;Mujeres;1 de julio de 2019;24.703,482180
03 Alicante/Alacant;De 80 a 84 años;Española;Mujeres;1 de enero de 2019;25.545,509276
03 Alicante/Alacant;De 85 a 89 años;Española;Hombres;1 de julio de 2022;11.122,172682
03 Alicante/Alacant;De 85 a 89 años;Española;Hombres;1 de enero de 2022;11.154,459077
03 Alicante/Alacant;De 85 a 89 años;Española;Hombres;1 de julio de 2019;11.030,165914
03 Alicante/Alacant;De 85 a 89 años;Española;Hombres;1 de enero de 2019;10.901,822322
03 Alicante/Alacant;De 85 a 89 años;Española;Mujeres;1 de julio de 2022;18.761,188415
03 Alicante/Alacant;De 85 a 89 años;Española;Mujeres;1 de enero de 2022;18.772,539547
03 Alicante/Alacant;De 85 a 89 años;Española;Mujeres;1 de julio de 2019;18.598,033889
03 Alicante/Alacant;De 85 a 89 años;Española;Mujeres;1 de enero de 2019;18.395,473800
03 Alicante/Alacant;90 y más años;Española;Hombres;1 de julio de 2022;5.363,224559
03 Alicante/Alacant;90 y más años;Española;Hombres;1 de enero de 2022;5.311,635402
03 Alicante/Alacant;90 y más años;Española;Hombres;1 de julio de 2019;4.626,963943
03 Alicante/Alacant;90 y más años;Española;Hombres;1 de enero de 2019;4.433,892476
03 Alicante/Alacant;90 y más años;Española;Mujeres;1 de julio de 2022;11.505,825348
03 Alicante/Alacant;90 y más años;Española;Mujeres;1 de enero de 2022;11.334,595492
03 Alicante/Alacant;90 y más años;Española;Mujeres;1 de julio de 2019;10.428,507828
03 Alicante/Alacant;90 y más años;Española;Mujeres;1 de enero de 2019;10.182,248665
04 Almería;De 0 a 4 años;Española;Hombres;1 de julio de 2022;13.333,500000
04 Almería;De 0 a 4 años;Española;Hombres;1 de enero de 2022;13.544,000000
04 Almería;De 0 a 4 años;Española;Hombres;1 de julio de 2019;14.669,364043
04 Almería;De 0 a 4 años;Española;Hombres;1 de enero de 2019;15.009,358737
04 Almería;De 0 a 4 años;Española;Mujeres;1 de julio de 2022;12.606,000000
04 Almería;De 0 a 4 años;Española;Mujeres;1 de enero de 2022;12.903,000000
